Kana,Score
ア,30.204962
イ,29.819962
ウ,32.41796
エ,29.515938
オ,29.379967
カ,32.065964
キ,31.982943
ク,30.30592
ケ,32.725952
コ,31.901878
サ,28.736935
シ,30.875847
ス,32.555946
セ,30.302954
ソ,30.806814
タ,30.570889
チ,33.36888
ツ,29.524899
テ,31.24487
ト,28.621967
ナ,29.961924
ニ,32.02191
ヌ,28.943834
ネ,28.82691
ノ,30.791937
ハ,30.36783
ヒ,29.342833
フ,31.249918
ヘ,32.964928
ホ,31.224926
マ,28.87893
ミ,30.001898
ム,21.313845
メ,32.282112
モ,31.610785
ヤ,28.70397
ユ,29.005861
ヨ,30.318913
ラ,31.126675
リ,29.654959
ル,31.79994
レ,31.177631
ロ,32.788837
ワ,28.955782
ヲ,29.268942
ン,32.79491
ガ,28.846983
ギ,28.504974
グ,30.727947
ゲ,31.18093
ゴ,32.521896
ザ,29.225906
ジ,30.579708
ズ,30.56796
ゼ,32.188946
ゾ,32.305878
ダ,31.284822
ヂ,31.482885
ヅ,30.194788
デ,32.660774
ド,30.384947
バ,30.820518
ビ,31.69179
ブ,30.202923
ベ,32.220955
ボ,31.176928
パ,31.616943
ピ,30.832752
プ,32.152912
ペ,31.413866
ポ,29.308918
あ,29.879978
い,29.868958
う,29.764969
え,29.930954
お,29.998972
か,31.509958
き,30.804949
く,30.481936
け,30.582956
こ,28.622955
さ,32.345886
し,31.623955
す,32.656956
せ,32.038925
そ,31.50195
た,32.24595
ち,30.816956
つ,31.40592
て,29.751966
と,29.233965
な,29.250973
に,28.95298
ぬ,31.160849
ね,20.706892
の,29.57796
は,31.996943
ひ,32.84394
ふ,31.511875
へ,33.120956
ほ,29.851954
ま,32.75296
み,28.911951
む,31.965914
め,30.230938
も,32.33696
や,29.00297
ゆ,31.970963
よ,28.868967
ら,33.210953
り,29.472971
る,30.390947
れ,25.691847
ろ,31.098858
わ,32.303947
を,32.820946
ん,30.16597
が,29.18398
ぎ,32.01996
ぐ,33.14793
げ,31.822952
ご,32.47695
ざ,30.809896
じ,25.680914
ず,29.355911
ぜ,30.837957
ぞ,29.242937
だ,31.632977
ぢ,32.469925
づ,31.59094
で,32.68295
ど,29.461918
ば,31.83694
ぱ,32.77088
び,29.587933
ぴ,29.645964
ぶ,28.862925
ぷ,32.695824
べ,28.91189
ぺ,30.079937
ぼ,25.701872
ぽ,30.960934
